"Carimbo de data/hora","Qual é o seu gênero?","Qual é a sua cor ou raça/etnia?","Qual é a sua faixa etária?","Em que estado você mora atualmente?","Qual é a sua ocupação atual?","Você aplica conhecimentos técnicos da área de Inteligência Artificial na sua atuação:","1. Existem até o momento mais dissensos do que consensos sobre quais são os principais problemas a serem enfrentados pelo campo da IA.","2. As Big Techs têm mais poder do que deveriam em definir as possibilidades e limites do campo da IA.","3. O foco atual do campo da IA na abordagem data and compute-intensive é acertado.","4. No contexto da pesquisa em IA, considerações éticas e progresso científico podem entrar em conflito.","5. Outros setores não-especialistas, como o poder público e a sociedade civil, devem ter participação nas definições éticas do campo da IA.","6. A evolução dos Large language models (LLMs) está indo em direção à AGI.","7. Os pesquisadores no campo da IA devem ter como prioridade perseguir a chamada Inteligência Artificial Geral, em inglês Artificial General Intelligence (AGI).","8. De modo geral, o desenvolvimento científico da IA terá um impacto futuro positivo no mundo.","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [1. Existem até o momento mais dissensos do que consensos sobre quais são os principais problemas a serem enfrentados pelo campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [2. As Big Techs têm mais poder do que deveriam em definir as possibilidades e limites do campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [3. O foco atual do campo da IA na abordagem data and compute-intensive é acertado.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [4. No contexto da pesquisa em IA, considerações éticas e progresso científico podem entrar em conflito.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [5. Outros setores não-especialistas, como o poder público e a sociedade civil, devem ter participação nas definições éticas do campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [6. A evolução dos Large language models (LLMs) está indo em direção à AGI.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [7. Os pesquisadores no campo da IA devem ter como prioridade perseguir a chamada Inteligência Artificial Geral, em inglês Artificial General Intelligence (AGI).]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [8. De modo geral, o desenvolvimento científico da IA terá um impacto futuro positivo no mundo.]","Por fim, gostaria de deixar algum comentário ou feedback?"
"11/17/2023 21:53:19","Masculino","Branca","51-55","RS","Professor Ensino Superior","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 20% até 40%","Até 20%","Até 20%","Até 20%","Até 20%","Mais de 20% até 40%",""
"11/17/2023 23:17:56","Masculino","Parda","51-55","RN","Professor","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 40% até 60%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%",""
"11/19/2023 7:02:08","Masculino","Branca","36-40","CE","Professor Universitário ","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%","Mais de 20% até 40%","Mais de 60% até 80%",""
"11/20/2023 5:30:29","Masculino","Branca","36-40","Moro no exterior","post-doc","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/20/2023 6:32:07","Masculino","Branca","36-40","Moro no exterior","Professor","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 80%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%",""
"11/20/2023 8:58:35","Masculino","Branca","36-40","PR","Professor","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 80%","Mais de 80%","Mais de 80%",""
"11/20/2023 10:14:24","Feminino","Branca","56-60","SP","professora universitaria","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Até 20%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%",""
"11/20/2023 14:29:13","Masculino","Branca","51-55","RS","professor","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/20/2023 15:49:49","Masculino","Branca","36-40","RS","CEO Startup e Professor Associado de Universidade","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Até 20%","Mais de 60% até 80%","Até 20%","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Até 20%","Mais de 60% até 80%",""
"11/20/2023 22:25:06","Feminino","Branca","Acima de 60","SP","Professora-pesquisadora","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 40% até 60%","Até 20%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 20% até 40%",""
"11/21/2023 5:25:10","Masculino","Branca","51-55","Moro no exterior","Professor Titular","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%",""
"11/21/2023 8:38:36","Feminino","Branca","41-45","SP","Professora Universitária","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Até 20%","Até 20%","Mais de 20% até 40%",""
"11/21/2023 12:09:51","Masculino","Parda","51-55","BA","Professor universitário","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 40% até 60%",""
"11/21/2023 18:56:48","Masculino","Branca","56-60","Moro no exterior","professor","Com frequência","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Mais de 80%","Mais de 80%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%",""
"11/21/2023 20:20:29","Masculino","Parda","36-40","BA","Cientista de Dados","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 80%","Mais de 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 80%",""
"11/22/2023 9:55:41","Masculino","Branca","41-45","SP","Professor universitário","Com frequência","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Até 20%","Mais de 60% até 80%",""
"11/22/2023 10:41:28","Feminino","Branca","Acima de 60","SP","Professora em universidade federal","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%",""
"11/22/2023 13:44:30","Masculino","Parda","56-60","PR","Professor","Com frequência","Discordo mais do que concordo","Concordo totalmente","Discordo totalmente","Concordo totalmente","Concordo totalmente","Discordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%",""
"11/22/2023 17:04:58","Masculino","Branca","Acima de 60","SP","docente USP RDIDP","Com frequência","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo totalmente","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%",""
"11/22/2023 19:36:32","Masculino","Branca","56-60","SP","Professor","Com frequência","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 80%","Mais de 20% até 40%","Até 20%","Mais de 80%",""
"11/22/2023 20:14:01","Masculino","Amarela","41-45","SP","Professor universitário","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%",""
"11/22/2023 22:22:39","Feminino","Branca","41-45","MG","Professora","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 40% até 60%","Até 20%","Mais de 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/23/2023 1:09:07","Masculino","Parda","36-40","RN","Pesquisador","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Discordo mais do que concordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%",""
"11/23/2023 7:24:44","Masculino","Branca","46-50","PR","Professor","Às vezes","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%",""
"11/23/2023 12:18:11","Feminino","Branca","41-45","SP","Professora","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo totalmente","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Até 20%","Até 20%","Mais de 80%",""
"11/23/2023 16:23:47","Feminino","Branca","41-45","SP","Professora universitária","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%","Mais de 80%","Mais de 80%",""
"11/23/2023 18:38:02","Masculino","Branca","31-35","SP","Pesquisador de Pós-doutorado","Com frequência","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 80%","Mais de 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 80%",""
"11/23/2023 23:57:35","Masculino","Branca","36-40","SE","Professor","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 40% até 60%","Até 20%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%",""
"11/24/2023 7:13:44","Masculino","Branca","51-55","SP","Professor/Pesquisador","Com frequência","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 80%",""
"11/24/2023 8:46:09","Feminino","Parda","41-45","RJ","Professora do magistério superior","Com frequência","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Até 20%","Mais de 40% até 60%",""
"11/24/2023 11:59:14","Masculino","Parda","41-45","RN","Professor de Magistério Superior","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%",""
"11/24/2023 13:24:54","Masculino","Parda","26-30","PR","Engenheiro de IA","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%",""
